target_participation,actual_participation,day,ev,usage_type,smart,initial_soc,final_soc,target_soc,target_feasible,target_met
0.6,0.6111111111111112,0,RESIDENTIAL_EV_008,residential,True,0.3909584487874935,0.8,0.8,True,True
0.6,0.6111111111111112,0,RESIDENTIAL_EV_009,residential,True,0.3402125091741494,0.8,0.8,True,True
0.6,0.6111111111111112,0,RESIDENTIAL_EV_010,residential,True,0.36103657220284485,0.8,0.8,True,True
0.6,0.6111111111111112,0,RESIDENTIAL_EV_011,residential,True,0.5251094017890158,0.8,0.8,True,True
0.6,0.6111111111111112,0,RESIDENTIAL_EV_012,residential,False,0.4455572923294905,0.8,0.8,True,True
0.6,0.6111111111111112,0,RESIDENTIAL_EV_013,residential,True,0.588497158099136,0.8,0.8,True,True
0.6,0.6111111111111112,0,RESIDENTIAL_EV_014,residential,True,0.46236805666423025,0.8,0.8,True,True
0.6,0.6111111111111112,0,RESIDENTIAL_EV_015,residential,True,0.34819560263253807,0.8,0.8,True,True
0.6,0.6111111111111112,0,RESIDENTIAL_EV_016,residential,True,0.45482057566436357,0.8,0.8,True,True
0.6,0.6111111111111112,0,RESIDENTIAL_EV_017,residential,True,0.4870469266612501,0.8,0.8,True,True
0.6,0.6111111111111112,0,RESIDENTIAL_EV_018,residential,False,0.4839009903159121,0.8,0.8,True,True
0.6,0.6111111111111112,0,OFFICE LV2_EV_001,office lv2,False,0.25791857533284057,0.8,0.8,True,True
0.6,0.6111111111111112,0,OFFICE LV2_EV_002,office lv2,True,0.34186717657708077,0.8,0.8,True,True
0.6,0.6111111111111112,0,OFFICE LV2_EV_003,office lv2,False,0.378265633827875,0.8,0.8,True,True
0.6,0.6111111111111112,0,OFFICE LV2_EV_004,office lv2,False,0.3685882036208568,0.8,0.8,True,True
0.6,0.6111111111111112,0,OFFICE LV2_EV_005,office lv2,True,0.4179763042062818,0.8,0.8,True,True
0.6,0.6111111111111112,0,OFFICE LV2_EV_006,office lv2,True,0.3521777768933066,0.8,0.8,True,True
0.6,0.6111111111111112,0,OFFICE LV2_EV_007,office lv2,True,0.2795844071569913,0.8,0.8,True,True
0.6,0.6111111111111112,0,OFFICE LV2_EV_008,office lv2,True,0.38665738120065146,0.8,0.8,True,True
